customer_id,ts,amount,merchant,country,channel,mcc_group
CUS-1001,2026-07-20T09:10:00Z,50.0,CAFE_LOCAL,IN,pos,retail
CUS-1001,2026-07-22T02:11:00Z,2400.0,CRYPTO_RAMP,NG,app,crypto
CUS-1001,2026-07-22T02:18:00Z,3100.0,P2P_WALLET,NG,app,p2p
CUS-1001,2026-07-22T02:25:00Z,2800.0,P2P_WALLET,GH,app,p2p
CUS-1001,2026-07-22T03:01:00Z,1500.0,ATM_WITHDRAW,NG,atm,cash
CUS-1002,2026-07-18T12:00:00Z,85.0,GROCERIES,GB,pos,retail
CUS-1002,2026-07-19T08:30:00Z,42.0,TRANSIT,GB,pos,travel
CUS-1002,2026-07-21T19:40:00Z,620.0,HOTEL_DUBAI,AE,pos,travel
CUS-1002,2026-07-22T10:15:00Z,95.0,RESTAURANT,AE,pos,retail
CUS-1002,2026-07-22T16:00:00Z,210.0,ELECTRONICS,AE,pos,retail
CUS-1003,2026-07-20T11:00:00Z,25.0,COFFEE,SG,pos,retail
CUS-1003,2026-07-21T14:20:00Z,120.0,ONLINE_SHOP,SG,web,retail
CUS-1003,2026-07-22T09:05:00Z,60.0,PHARMACY,SG,pos,retail
CUS-1004,2026-07-21T07:00:00Z,900.0,SUPPLIER_PAY,IN,transfer,b2b
CUS-1004,2026-07-22T07:05:00Z,1100.0,SUPPLIER_PAY,IN,transfer,b2b
CUS-1005,2026-07-19T18:00:00Z,45.0,STREAMING,IT,web,retail
CUS-1005,2026-07-21T12:00:00Z,200.0,AIRLINE,IT,web,travel
CUS-1003,2026-07-15T10:10:00Z,16.0,MISC_RETAIL,SG,pos,retail
CUS-1003,2026-07-16T10:11:00Z,64.0,MISC_RETAIL,SG,pos,retail
CUS-1003,2026-07-17T10:12:00Z,55.0,MISC_RETAIL,SG,pos,retail
CUS-1005,2026-07-15T10:10:00Z,40.0,MISC_RETAIL,IT,pos,retail
CUS-1005,2026-07-16T10:11:00Z,40.0,MISC_RETAIL,IT,pos,retail
CUS-1005,2026-07-17T10:12:00Z,70.0,MISC_RETAIL,IT,pos,retail
